run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
685,191.0,138.0,4.084175084175084,1.6503194496350846,0.037037037037037035,0.010101010101010102,0.04196919928732039,0.10848948393378058,0.1060936824433865,1.0,0.0,0.0
686,183.0,133.0,3.9764309764309766,1.5317460128654978,0.026936026936026935,0.006734006734006734,0.032743739422899036,0.08970126938137607,0.11544162297967911,1.0,0.03125,0.0
687,194.0,150.0,4.074074074074074,1.6599565634355704,0.03367003367003367,0.016835016835016835,0.042928277494419353,0.10429591099565974,0.11779406201802714,1.0,0.0,0.0
688,174.0,121.0,3.8855218855218854,1.6596901906627946,0.037037037037037035,0.02356902356902357,0.0380383541206934,0.10769472773709275,0.1125385390063305,1.0,0.0,0.0
689,181.0,121.0,3.942760942760943,1.5912502083833073,0.04377104377104377,0.006734006734006734,0.03873869112597824,0.10234811145471699,0.139153949907558,1.0,0.0,0.0
690,191.0,137.0,4.151515151515151,1.6859309072975697,0.030303030303030304,0.020202020202020204,0.038426233110865037,0.0971089667625052,0.14515729370941907,1.0,0.0,0.0
691,198.0,150.0,4.063973063973064,1.6203509115977093,0.04713804713804714,0.010101010101010102,0.03963953193167916,0.09678513273073425,0.13225803044946619,1.0,0.0,0.0
692,175.0,118.0,4.0,1.5763402186230246,0.037037037037037035,0.003367003367003367,0.05202283892468581,0.13324653911941436,0.138492344267596,1.0,0.0,0.0
693,186.0,135.0,3.95959595959596,1.5693992411637943,0.04040404040404041,0.013468013468013467,0.04600862910300692,0.114219810460222,0.1327030595508815,1.0,0.0,0.0
694,176.0,123.0,3.962962962962963,1.7061905433876456,0.05723905723905724,0.006734006734006734,0.03912685676939971,0.0954156827844088,0.12420487653172749,1.0,0.0625,0.0
695,176.0,122.0,3.909090909090909,1.4958364827016783,0.04713804713804714,0.006734006734006734,0.038440805252542,0.11965619912793397,0.1350643480928896,1.0,0.0625,0.0
696,202.0,151.0,4.077441077441078,1.5690813705917976,0.03367003367003367,0.006734006734006734,0.044847505870992385,0.10987526705693344,0.11783935846633552,1.0,0.09375,0.0
697,198.0,153.0,4.063973063973064,1.6714925201943611,0.06734006734006734,0.013468013468013467,0.045689570754374076,0.11801735823758133,0.11435383863678196,1.0,0.03125,0.0
698,194.0,139.0,4.104377104377105,1.6140839619559657,0.03367003367003367,0.006734006734006734,0.038093992765511835,0.10033173579193527,0.10194265350380752,1.0,0.0,0.0
699,185.0,131.0,3.983164983164983,1.6442081029820612,0.06397306397306397,0.006734006734006734,0.041420622446146506,0.11810071296624042,0.09873307709333154,1.0,0.0625,0.0
700,194.0,142.0,4.090909090909091,1.5662103940625423,0.04040404040404041,0.013468013468013467,0.03944074537774425,0.11152858073367287,0.11272065226881955,1.0,0.0625,0.0
701,176.0,121.0,4.02020202020202,1.6553950039553995,0.06060606060606061,0.006734006734006734,0.03601426127460175,0.08832320813709009,0.10247100484135288,1.0,0.03125,0.0
702,192.0,142.0,4.037037037037037,1.668274570446754,0.050505050505050504,0.013468013468013467,0.038285990438078045,0.1082089536202572,0.11113558913936883,1.0,0.03125,0.0
703,198.0,142.0,4.02020202020202,1.6142033590723206,0.04377104377104377,0.006734006734006734,0.0432867539227115,0.1139546510535622,0.1553578495441283,1.0,0.0,0.0
704,180.0,123.0,3.8855218855218854,1.6372224817990466,0.05387205387205387,0.013468013468013467,0.04080310951096396,0.12357664123925309,0.13772273026412252,1.0,0.0,0.0
705,178.0,124.0,3.8484848484848486,1.6597653257732308,0.0707070707070707,0.006734006734006734,0.0421542512451421,0.10942306941514378,0.10966127316535637,1.0,0.03125,0.0
706,194.0,140.0,3.9393939393939394,1.6685939270225703,0.0707070707070707,0.013468013468013467,0.042972026904317166,0.10410328704477781,0.11429727965945735,1.0,0.0,0.0
707,201.0,151.0,4.107744107744108,1.6044468807364773,0.037037037037037035,0.010101010101010102,0.038143684715614606,0.08973506847527454,0.10710996992185404,1.0,0.0,0.0
708,195.0,145.0,3.9865319865319866,1.612186469345226,0.06397306397306397,0.0,0.03913597268744484,0.10684850803594627,0.11193319103319174,1.0,0.0,0.0
709,197.0,150.0,4.154882154882155,1.596371538987598,0.026936026936026935,0.016835016835016835,0.0351088135754785,0.09020976970543443,0.13223196509160728,1.0,0.03125,0.0
710,179.0,125.0,3.952861952861953,1.6031745310173138,0.04713804713804714,0.006734006734006734,0.038054659816851466,0.09796057458306327,0.11468927931854048,1.0,0.125,0.0
711,193.0,142.0,4.043771043771044,1.6781733861282069,0.05387205387205387,0.003367003367003367,0.026345339609434498,0.09024369766612138,0.0945966312571633,1.0,0.0,0.0
712,193.0,144.0,4.057239057239057,1.6226790584370097,0.030303030303030304,0.006734006734006734,0.0335680562801859,0.09026307291226887,0.1290877487076388,1.0,0.0,0.0
713,190.0,141.0,3.925925925925926,1.6477414093506269,0.037037037037037035,0.016835016835016835,0.04438873145724917,0.12772952875129417,0.09737942822513482,1.0,0.03125,0.0
714,201.0,150.0,4.101010101010101,1.6339925457689852,0.04377104377104377,0.006734006734006734,0.044851645249141536,0.11815360836547281,0.13227897689369886,1.0,0.0625,0.0
715,198.0,144.0,4.117845117845118,1.5879124861130116,0.03367003367003367,0.013468013468013467,0.04207225964130554,0.11140338962125007,0.09600375358010757,1.0,0.03125,0.0
